url,title,price,location,bedrooms,bathrooms,area
https://bh.opensooq.com/en/search/286632454,Studio apartment for rent - salmabad,140,"Salmabad, Central Governorate",Studio,1,60 m2
https://bh.opensooq.com/en/search/286686472,Marssi Resident Apartment for Rent,400,"Diyar Al Muharraq, Muharraq",1,1,120 m2
https://bh.opensooq.com/en/search/286685850,House for rent,380,"Jannusan, Northern Governorate",3,3,400 ft²
https://bh.opensooq.com/en/search/286685218,3-BHK  Semi furnished  Tubli  2 Car park  Security  Maid room  EWA Limit BD30,300,"Tubli, Central Governorate",3,3,160 m2
https://bh.opensooq.com/en/search/285694448,للبيع شقة في الحد 3 غرف بسعر مميز,"48,000","Hidd, Muharraq",3,3,137 m2
https://bh.opensooq.com/en/search/284711648,استوديو مفروش بالكامل للإيجار  السيف,210,"Seef, Manama",Studio,1,45 m2
https://bh.opensooq.com/en/search/284711334,شقة فاخرة مفروشة بالكامل للإيجار  السيف  2.5 غرفة نوم,750,"Seef, Manama",2,4,140 m2
https://bh.opensooq.com/en/search/286670076,Ladies saloon,"8,000","Galaly, Muharraq",,,65 m2
https://bh.opensooq.com/en/search/284704190,شقة فاخرة بإطلالة بحرية للإيجار  السيف  650 دينار,650,"Seef, Manama",2,2,130 m2
https://bh.opensooq.com/en/search/286669068,للإيجار شقة مميزة مفروشة بالكامل,450,"Eastern Riffa, Southern Governorate",3,3,200 m2
https://bh.opensooq.com/en/search/284702846,شقة ديلوكس مفروشة بالكامل للإيجار  الحد الجديدة,300,"Hidd, Muharraq",2,2,130 m2
https://bh.opensooq.com/en/search/286667324,للإيجار شقه في الجفير برج اوركيد تتكون من  غرفه وصاله وحمام ومطبخ بسعر 290 دينار  شامل لمت 20 دينار,260,"Juffair, Manama",Studio,1,40 m2
https://bh.opensooq.com/en/search/286666578,4-Bedroom Penthouse with Private Pool &amp; City Views,700,"Seef, Manama",4,4,150 m2
https://bh.opensooq.com/en/search/286666724,House for rent,200,"Diraz, Northern Governorate",3,3,150 m2
https://bh.opensooq.com/en/search/286665570,Room for rent,150,"Mahooz, Manama",,,
https://bh.opensooq.com/en/search/286664338,للإيجار شقة في &quot;قرية سار&quot;,170,"Saar, Northern Governorate",2,2,88 m2
https://bh.opensooq.com/en/search/284698378,مكتب للإيجار  السيف  4 مكاتب  640 دينار,640,"Seef, Manama",,,107 m2
https://bh.opensooq.com/en/search/286608736,للإيجار ستديو مفروش بلكامل في منطقة عالي,150,"Other, Northern Governorate",Studio,1,100 m2
https://bh.opensooq.com/en/search/286654970,للايجار شقة في الرفاع الشمالي قرب ممشى الاستقلال,180,"Riffa Al Shamali, Central Governorate",2,2,100 m2
https://bh.opensooq.com/en/search/286654012,Flat for rent including ewa,160,"Hidd, Muharraq",2,1,100 m2
https://bh.opensooq.com/en/search/286653946,مبنى للإيجار بسعر ممتاز,550,"Hidd, Muharraq",,,200 m2
https://bh.opensooq.com/en/search/286650276,For Sale Fully Furnished Apartment in Mahooz,"52,000","Umm Al Hassam, Manama",2,2,133 m2
https://bh.opensooq.com/en/search/286647178,مكتب للاجار,160,"Diplomatic Area, Manama",,,11 m2
https://bh.opensooq.com/en/search/286645744,شقة في منطقة عراد غرفة واحدة  / شامل الكهرباء والماء  150دينار ( من المالك ),150,"Arad, Muharraq",1,1,105 m2
https://bh.opensooq.com/en/search/286642156,شقة واسعة للايجار قريبة من الشارع العام و مدرسة أم القرى specious flat for rent close to gcc h.w,180,"Al Eker, Central Governorate",3,2,110 m2
https://bh.opensooq.com/en/search/285655020,للبيع شقة دبلوكس نظام طابقين في منطقة الحد,"65,000","Hidd, Muharraq",3,3,170 m2
https://bh.opensooq.com/en/search/286638920,شقه للايجار,220,"Riffa, Southern Governorate",3,3,200 m2
https://bh.opensooq.com/en/search/286638720,حجره ومطبخ وحمام شبه مفروش,120,"Jid Ali, Central Governorate",,,
https://bh.opensooq.com/en/search/286592432,منزل لايجار في الحد,150,"Hidd, Muharraq",2,2,42 m2
https://bh.opensooq.com/en/search/286634630,مالك مباشر,"54,000","Hidd, Muharraq",4,4,25 m2
https://bh.opensooq.com/en/search/286634294,للبيع بنايه مكونه من شقتين بمنطقه المحرق من الملك مباشره,"80,000","Muharraq City, Muharraq",,,10000 m2
https://bh.opensooq.com/en/search/285647206,للبيع شقة تشطيب دي لوكس في موقع مميز في   الحد الجديدة,"65,000","Hidd, Muharraq",4,4,180 m2
https://bh.opensooq.com/en/search/286587392,فيلا مفروشه للبيع في امواج,"300,000","Amwaj Islands, Muharraq",4,,500 m2
https://bh.opensooq.com/en/search/286631606,للبيع شقة استوديو في بناية بن فقيه ف الحد,"36,000","Hidd, Muharraq",Studio,1,89 m2
https://bh.opensooq.com/en/search/285644152,Offer Price Quality Living  Balcony  Close to Juffair Mall,250,"Juffair, Manama",1,2,85 m2
https://bh.opensooq.com/en/search/285642578,للبيع شقة في منطقة الحد الجديدة قريبة من جميع الخدمات,"72,000","Hidd, Muharraq",5,4,200 m2
https://bh.opensooq.com/en/search/285640162,Amazing Deal  2 Bhk With 2 Balcony All room attached bathroom Near to Sparrows Sidra Kindergarten,170,"Arad, Muharraq",2,3,130 m2
https://bh.opensooq.com/en/search/286627264,Room for rent with electricity family or couples,100,"Muharraq City, Muharraq",1,1,5 m2
https://bh.opensooq.com/en/search/286627002,للبيع شقة ديلوكس في منطقه الحد الجديدة,"42,000","Hidd, Muharraq",3,3,129 m2
https://bh.opensooq.com/en/search/286626026,Shop for rent  For C.R opening,80,"Malikiyah, Northern Governorate",,,16 ft²
https://bh.opensooq.com/en/search/284654132,مكاتب للإيجار بإطلالة مميزة في قلب منطقة السيف التجارية,650,"Seef, Manama",,,120 m2
https://bh.opensooq.com/en/search/286573314,For Rent: A luxurious seaview studio apartment (fully furnished),350,"Juffair, Manama",Studio,1,44 m2
https://bh.opensooq.com/en/search/286618050,For rent 3 bedrooms apartment in Jurdab ( All inclusive) للايجار شقة  3 غرف نوم في  جرداب )مع الكهرب,350,"Jurdab, Central Governorate",3,3,150 m2
https://bh.opensooq.com/en/search/286617996,للبيع بيت في المحرق House in Muharraq,"39,000","Muharraq City, Muharraq",3,,58 m2
https://bh.opensooq.com/en/search/286617406,For rent furinshed Apartmnet in Riffa Buhair (all inclusive)  للايجار شقة مفروشة في الرفاع البحير,400,"Al-Bahair, Central Governorate",3,3,150 m2
https://bh.opensooq.com/en/search/284644132,مكتب للإيجار  السيف – كرباباد  موقع مميز 330 دينار,330,"Seef, Manama",,,125 m2
https://bh.opensooq.com/en/search/286609030,2 bedroom flat for in Jurdab( all inclusiveشقة لايجار من غرفتين في جرداب)شامل الكهرباء(,200,"Jurdab, Central Governorate",2,2,110 m2
https://bh.opensooq.com/en/search/286608458,Special Offer!!!3 Bhk With 4 Bathroom Spacious Closed Kitchen With Ac,190,"Arad, Muharraq",3,4,170 m2
https://bh.opensooq.com/en/search/286603036,Furnished Room,100,"Adliya, Manama",,,
https://bh.opensooq.com/en/search/286410396,للأيجار شقة للأيجار . في منطقة البرهامة,350,"Burhama, Manama",3,2,120 m2
https://bh.opensooq.com/en/search/285600742,للبيع شقة تملك حر لجميع في منطقة الحد الجديدة قريبة من جميع الخدمات,"76,000","Hidd, Muharraq",5,4,210 m2
https://bh.opensooq.com/en/search/286590824,For rent apartment in isa town,175,"Isa Town, Central Governorate",2,1,100 m2
https://bh.opensooq.com/en/search/286540422,ULTRA LUXURY Flat Include EWA,450,"Juffair, Manama",2,3,148 m2
https://bh.opensooq.com/en/search/286588152,للإيجار شقة في المالكية 180 دينار,180,"Malikiyah, Northern Governorate",3,2,120 m2
https://bh.opensooq.com/en/search/286587360,Luxury fully furnished 2BR in Juffair,400,"Juffair, Manama",2,2,100 m2
https://bh.opensooq.com/en/search/286586530,شقة للايجار في منطقة المحرق ( بن هندي ),90,"Muharraq City, Muharraq",2,1,50 m2
https://bh.opensooq.com/en/search/286537880,Bed space Available only in 26 BD/Month for Indian  Pakistani Nepali and Bangladeshi.,26,"Al Janabiyah, Northern Governorate",,,
https://bh.opensooq.com/en/search/286583024,شقق وفلل فخمه للايجار في جميع مناطق البحرين مكونة من غرفه وغرفتين وثلاث غرف بمختلف أنواعها واسعارها,100,"Hidd, Muharraq",2,2,120 m2
https://bh.opensooq.com/en/search/286582736,Luxury Private Beach Villa at Durrat Al Bahrain for rent daily,250,"Durrat Al Bahrain, Southern Governorate",4,6+,750 m2
https://bh.opensooq.com/en/search/286581812,للايجار بيت في الرفاع البحير,420,"Riffa, Southern Governorate",5,,300 m2
https://bh.opensooq.com/en/search/286531908,Fully finished Flat sharing only couple or ladies.,120,"Hidd, Muharraq",,,
https://bh.opensooq.com/en/search/286579922,للايجار استديو في سوق واقف,110,"Madinat Hamad, Northern Governorate",Studio,1,30 m2
https://bh.opensooq.com/en/search/286579294,Looking for  Below 35 years old Malayali gents for bed space in a fully furnished flat. BD 40/-,40,"Qudaibiya, Manama",,,
https://bh.opensooq.com/en/search/286530290,3+maid Villa in Gated community,580,"Saar, Northern Governorate",4,3,220 m2
https://bh.opensooq.com/en/search/286577470,شقة غرفتين للايجار Flat tow room for Rent,110,"Busaiteen, Muharraq",2,1,1 m2
